https://martinn1996.github.io/CrowdComputing-2/#/task4	xfJo33	"Everything iş good"	65.0	3.0
https://martinn1996.github.io/CrowdComputing-2/#/task4	x8MsG3		20.0	4.0
https://martinn1996.github.io/CrowdComputing-2/#/task4	qK5HC3		10.0	5.0
https://martinn1996.github.io/CrowdComputing-2/#/task4	7DxUF3	7DxUF3	40.0	4.0
https://martinn1996.github.io/CrowdComputing-2/#/task4	Gq4mn3		10.0	3.0
https://martinn1996.github.io/CrowdComputing-2/#/task4	lJVjC3	Everything is good	80.0	4.0
https://martinn1996.github.io/CrowdComputing-2/#/task4	eOyYF3		15.0	4.0
https://martinn1996.github.io/CrowdComputing-2/#/task4	Am4rf3		43.0	5.0
https://martinn1996.github.io/CrowdComputing-2/#/task4	LIBPV3		20.0	5.0
https://martinn1996.github.io/CrowdComputing-2/#/task4	dt7By3		18.0	5.0
https://martinn1996.github.io/CrowdComputing-2/#/task4	D9Ub22	-	60.0	1.0
https://martinn1996.github.io/CrowdComputing-2/#/task4	l24IU3		20.0	5.0
https://martinn1996.github.io/CrowdComputing-2/#/task4	RG1d33		40.0	4.0
https://martinn1996.github.io/CrowdComputing-2/#/task4	cJQSM3		3.0	5.0
https://martinn1996.github.io/CrowdComputing-2/#/task4	2Kd2H3		20.0	4.0
https://martinn1996.github.io/CrowdComputing-2/#/task4	h1fVr3		20.0	5.0
https://martinn1996.github.io/CrowdComputing-2/#/task4	8wZ6Y3		30.0	5.0
https://martinn1996.github.io/CrowdComputing-2/#/task4	0vpCs3		30.0	5.0
https://martinn1996.github.io/CrowdComputing-2/#/task4	ROOWo3	hfghfhnbvbjkggl;gjfkjgkdgitijgkgkvmjltjfhgh	12.0	1.0
https://martinn1996.github.io/CrowdComputing-2/#/task4	ejYOd3		40.0	3.0
https://martinn1996.github.io/CrowdComputing-2/#/task4	bPpjW3		20.0	4.0
https://martinn1996.github.io/CrowdComputing-2/#/task4	iI95j3	Hhahshs	10.0	2.0
https://martinn1996.github.io/CrowdComputing-2/#/task4	Gumxg3		30.0	4.0
https://martinn1996.github.io/CrowdComputing-2/#/task4	zfePX3	не знаю	4.0	5.0
https://martinn1996.github.io/CrowdComputing-2/#/task4	bwKp20		1.0	5.0
https://martinn1996.github.io/CrowdComputing-2/#/task4	JvaW13		15.0	3.0
https://martinn1996.github.io/CrowdComputing-2/#/task4	UNLeN3	No	20.0	5.0
https://martinn1996.github.io/CrowdComputing-2/#/task4	QYlxG3		18.0	1.0
https://martinn1996.github.io/CrowdComputing-2/#/task4	ngUHT3		8.0	5.0
https://martinn1996.github.io/CrowdComputing-2/#/task4	shkHa3		10.0	5.0
https://martinn1996.github.io/CrowdComputing-2/#/task4	zANlS3		80.0	5.0
https://martinn1996.github.io/CrowdComputing-2/#/task4	OJGxh2		35.0	4.0
https://martinn1996.github.io/CrowdComputing-2/#/task4	o8KzS3		80.0	5.0
https://martinn1996.github.io/CrowdComputing-2/#/task4	LzTJl3		60.0	5.0
https://martinn1996.github.io/CrowdComputing-2/#/task4	JhAhd3		50.0	5.0
