https://martinn1996.github.io/CrowdComputing-2/#/task3	E5NfU0		120.0	5.0
https://martinn1996.github.io/CrowdComputing-2/#/task3	LIBPV3		20.0	3.0
https://martinn1996.github.io/CrowdComputing-2/#/task3	ef5cR3		20.0	5.0
https://martinn1996.github.io/CrowdComputing-2/#/task3	8Fvyj3		180.0	3.0
https://martinn1996.github.io/CrowdComputing-2/#/task3	rvIHd3		10.0	4.0
https://martinn1996.github.io/CrowdComputing-2/#/task3	sEYAo3		20.0	5.0
https://martinn1996.github.io/CrowdComputing-2/#/task3	691Ob3		120.0	5.0
https://martinn1996.github.io/CrowdComputing-2/#/task3	Xft2u0		111.0	5.0
https://martinn1996.github.io/CrowdComputing-2/#/task3	Ys2GS2		20.0	2.0
https://martinn1996.github.io/CrowdComputing-2/#/task3	pUYJ73		10.0	4.0
https://martinn1996.github.io/CrowdComputing-2/#/task3	Z743W3		90.0	5.0
https://martinn1996.github.io/CrowdComputing-2/#/task3	ojOJg3		50.0	4.0
https://martinn1996.github.io/CrowdComputing-2/#/task3	DT99d3		20.0	5.0
https://martinn1996.github.io/CrowdComputing-2/#/task3	p3o9u0		59.0	5.0
https://martinn1996.github.io/CrowdComputing-2/#/task3	nL2cp3		20.0	5.0
https://martinn1996.github.io/CrowdComputing-2/#/task3	o6kmS3		50.0	5.0
https://martinn1996.github.io/CrowdComputing-2/#/task3	xu1Xn3		40.0	3.0
https://martinn1996.github.io/CrowdComputing-2/#/task3	bJeIS2	bJeIS2	60.0	5.0
https://martinn1996.github.io/CrowdComputing-2/#/task3	r1dG33		30.0	4.0
https://martinn1996.github.io/CrowdComputing-2/#/task3	A8qwB3		70.0	4.0
https://martinn1996.github.io/CrowdComputing-2/#/task3	w8Vb33		60.0	5.0
https://martinn1996.github.io/CrowdComputing-2/#/task3	3gR9Z3		45.0	1.0
https://martinn1996.github.io/CrowdComputing-2/#/task3	7WBEg3		2.0	4.0
https://martinn1996.github.io/CrowdComputing-2/#/task3	U7TEY3		40.0	4.0
https://martinn1996.github.io/CrowdComputing-2/#/task3	3NxFs3		120.0	4.0
https://martinn1996.github.io/CrowdComputing-2/#/task3	77r1H3	No)	30.0	4.0
https://martinn1996.github.io/CrowdComputing-2/#/task3	mHj8x0		60.0	4.0
https://martinn1996.github.io/CrowdComputing-2/#/task3	Gq4mn3		10.0	4.0
https://martinn1996.github.io/CrowdComputing-2/#/task3	Hd7tp3		30.0	5.0
https://martinn1996.github.io/CrowdComputing-2/#/task3	n9PCN3		50.0	5.0
https://martinn1996.github.io/CrowdComputing-2/#/task3	X4qJC0		25.0	2.0
https://martinn1996.github.io/CrowdComputing-2/#/task3	WUEDt0		2.0	5.0
https://martinn1996.github.io/CrowdComputing-2/#/task3	b2aEL3		70.0	5.0
https://martinn1996.github.io/CrowdComputing-2/#/task3	yXLwC3		70.0	3.0
https://martinn1996.github.io/CrowdComputing-2/#/task3	IOLT03		35.0	5.0
